0,5,59
1,53,488
2,53,529
3,53,245
4,53,37
5,56,36
6,58,422
7,58,543
8,59,4
9,59,141
10,71,599
11,76,1
12,76,295
13,76,114
14,93,30
15,93,94
16,93,434
17,94,76
18,94,612
19,112,198
20,114,536
21,114,7
22,124,469
23,135,58
24,141,203
25,152,18
26,198,93
27,202,457
28,202,616
29,202,19
30,203,29
31,203,296
32,213,14
33,213,461
34,216,12
35,216,580
36,224,16
37,224,349
38,231,249
39,243,6
40,243,396
41,243,316
42,249,31
43,249,397
44,249,35
45,261,632
46,261,213
47,261,46
48,275,287
49,279,112
50,279,45
51,287,56
52,296,508
53,296,38
54,316,124
55,316,224
56,323,17
57,329,23
58,343,42
59,343,438
60,349,361
61,349,47
62,349,33
63,361,21
64,363,216
65,373,486
66,373,607
67,378,20
68,396,343
69,396,329
70,397,363
71,397,482
72,422,40
73,434,556
74,434,305
75,438,39
76,442,26
77,446,22
78,446,152
79,448,275
80,457,24
81,461,53
82,465,446
83,469,442
84,482,11
85,482,401
86,482,71
87,482,48
88,486,13
89,488,49
90,508,135
91,543,378
92,543,261
93,543,279
94,543,231
95,556,243
96,580,448
97,599,41
98,607,202
99,607,2
100,607,323
101,612,373
102,612,25
103,616,465
104,632,32
