0,4,8
1,8,6
2,8,24
3,8,7
4,8,16
5,8,40
6,18,20
7,20,4
8,20,19
9,20,28
10,20,52
11,41,42
12,42,44
13,42,10
14,42,46
15,49,50
16,50,58
17,50,18
18,50,54
19,50,34
20,57,41
21,57,59
22,57,25
23,57,49
24,57,61
25,61,63
26,63,31
27,63,55
28,63,64
29,63,47
